,KIC,group,ifpublish,ifradial,PTamp,PTeamp,PTlw,PTelw,PTfc,PTefc,PTlnK,PTelnK
0,893214,2.0,1.0,0.0,1.0684,0.18635,0.2469,0.11415,30.3805,0.051,1.2904,1.1681
1,893214,3.0,1.0,1.0,1.8426,0.1941,0.10400000000000001,0.03575,34.4713,0.01365,18.8055,1.6645
2,893214,4.0,1.0,1.0,1.8276,0.18785,0.1362,0.05115,38.7453,0.017,12.1625,1.5723
3,893214,5.0,1.0,1.0,2.8162,0.24835,0.1168,0.0321,43.0304,0.0125,25.5445,1.8428
4,893214,6.0,1.0,1.0,2.4336,0.20045,0.251,0.07025,47.3661,0.02415,7.0434,1.2983
5,1027337,0.0,1.0,1.0,1.1395,0.1589,0.1628,0.09175,56.9397,0.02605,6.7617,1.5351
6,1027337,1.0,1.0,1.0,1.6058,0.18935,0.0778,0.0302,63.5104,0.01125,29.9097,1.9140000000000001
7,1027337,2.0,1.0,1.0,3.3016,0.29615,0.0916,0.02285,70.4715,0.00975,72.6144,1.9391
8,1027337,3.0,1.0,1.0,3.6584,0.26305,0.1531,0.03325,77.37100000000001,0.0132,52.4591,1.8506
9,1027337,4.0,1.0,1.0,2.7337,0.18595,0.2429,0.05405,84.3621,0.02085,27.011999999999997,1.6373
10,1027337,5.0,1.0,1.0,2.0516,0.1726,0.5304,0.08235,91.4032,0.05645,1.1362,1.2677
11,1027582,0.0,1.0,1.0,1.6346,0.17265,0.2916,0.11875,130.2032,0.03435,13.8138,1.5430000000000001
12,1027582,1.0,1.0,1.0,1.8266,0.19695,0.0922,0.03075,142.8256,0.01325,44.8495,1.8381
13,1027582,2.0,1.0,1.0,3.0925,0.25925,0.1165,0.0296,155.4863,0.0118,88.551,1.9243
14,1027582,3.0,1.0,1.0,2.7293,0.2013,0.2229,0.0575,168.0811,0.01975,42.1125,1.7854
15,1027582,4.0,1.0,1.0,1.6695,0.2071,0.5478,0.23365,180.888,0.0725,5.1461,1.2047
16,1164584,2.0,1.0,1.0,1.263,0.1683,0.0925,0.04725,23.3864,0.0146,8.1227,1.5257
17,1164584,3.0,1.0,1.0,2.49,0.26805,0.0685,0.0218,26.7187,0.0088,29.3512,1.8843
18,1164584,4.0,1.0,1.0,3.2042,0.27505,0.1095,0.02905,30.0563,0.0113,22.6442,1.7819
19,1164584,5.0,1.0,1.0,1.8246,0.1801,0.1421,0.05095,33.4482,0.017,8.6975,1.3537
20,1292147,1.0,1.0,1.0,1.1011,0.1831,0.4589,0.17765,66.9093,0.08335,1.32,1.1115
21,1292147,2.0,1.0,1.0,1.179,0.18735,0.4053,0.19605,74.5367,0.07525,2.0854,1.177
22,1292147,3.0,1.0,1.0,1.6638,0.1731,0.1215,0.04315,82.6787,0.01575,20.3234,1.8456
23,1292147,4.0,1.0,1.0,2.075,0.17745,0.1679,0.04785,90.7099,0.0178,30.1966,1.7265
24,1292147,5.0,1.0,1.0,1.3268,0.1705,0.3989,0.15205,98.8618,0.05895,4.7981,1.2211
25,1294122,0.0,1.0,1.0,1.1862,0.17625,0.0615,0.03145,57.7294,0.01145,18.7429,2.0732
26,1294122,1.0,1.0,1.0,1.6769999999999998,0.15765,0.1866,0.05795,64.3955,0.02255,17.5534,1.609
27,1294122,2.0,1.0,1.0,3.1239999999999997,0.2594,0.1193,0.0325,71.4847,0.01165,48.5284,1.8985
28,1294122,3.0,1.0,1.0,3.7864,0.2984,0.1222,0.02835,78.4593,0.0113,63.3136,1.8968
29,1294122,4.0,1.0,1.0,2.3494,0.1744,0.2645,0.0703,85.5552,0.02375,17.8188,1.5294
30,1294122,5.0,1.0,0.0,1.5935,0.17375,0.4958,0.10915,92.7739,0.06715,1.6622,1.1779
31,1294385,0.0,1.0,1.0,1.3891,0.1551,0.1331,0.0449,84.2719,0.02065,24.7629,1.8091
32,1294385,1.0,1.0,1.0,2.1978,0.16445,0.254,0.0603,93.15100000000001,0.0247,29.4728,1.6387
33,1294385,2.0,1.0,1.0,4.162,0.35235,0.1007,0.0234,102.3333,0.0098,107.1043,2.01
34,1294385,3.0,1.0,1.0,4.0652,0.25305,0.2037,0.038,111.3633,0.0157,64.4318,1.8027
35,1294385,4.0,1.0,1.0,2.6322,0.17905,0.2848,0.066,120.5484,0.0241,27.8979,1.6122
36,1296068,1.0,1.0,0.0,0.9223,0.16015,0.1191,0.06265,44.2067,0.0282,7.5472,1.5551
37,1296068,2.0,1.0,1.0,2.1469,0.1858,0.1916,0.0527,49.9489,0.02145,18.364,1.5775
38,1296068,3.0,1.0,1.0,2.648,0.21885,0.1635,0.0439,56.1398,0.0167,26.533,1.7419
39,1296068,4.0,1.0,1.0,3.5,0.27335,0.1577,0.03845,62.2224,0.0148,33.646,1.7542
40,1296068,5.0,1.0,1.0,2.4185,0.18925,0.2724,0.07195,68.4013,0.0275,14.9935,1.3817
41,1296068,6.0,1.0,0.0,1.4608,0.1919,0.4133,0.1065,74.7123,0.06485,2.4879,1.1683
42,1296507,0.0,1.0,1.0,0.9851,0.17165,0.2252,0.1583,95.926,0.04595,3.8146,1.3769
43,1296507,1.0,1.0,1.0,1.5774,0.1672,0.2465,0.09865,105.8053,0.02975,13.7428,1.5664
44,1296507,2.0,1.0,1.0,2.6287,0.2212,0.1286,0.0329,116.1508,0.0135,56.486000000000004,1.848
45,1296507,3.0,1.0,1.0,2.8543,0.19665,0.2166,0.0472,126.4704,0.01885,46.5368,1.7751
46,1296507,4.0,1.0,1.0,2.5926,0.18545,0.2381,0.0548,136.7738,0.02165,36.7939,1.7182
47,1296507,5.0,1.0,1.0,1.9384,0.192,0.7093,0.1541,147.437,0.086,3.2602,1.1555
48,1296507,6.0,1.0,1.0,0.976,0.1993,0.261,0.2298,157.8567,0.0688,2.5866,1.1629
49,1429497,0.0,1.0,1.0,2.1114,0.2246,0.7634,0.26875,208.5864,0.09585,7.8933,1.1481
50,1429497,1.0,1.0,1.0,2.395,0.204,0.2317,0.06785,225.2551,0.0244,33.633,1.7197
51,1429497,2.0,1.0,1.0,2.2165,0.23935,0.1162,0.05005,241.9828,0.01465,32.1393,1.9969999999999999
52,1429497,3.0,1.0,1.0,1.6753,0.2284,0.3685,0.15775,258.8188,0.0646,8.2966,1.4654
53,1429505,0.0,1.0,0.0,0.6512,0.16315,0.1182,0.09095,41.3494,0.0449,3.8276,1.2779
